price,year,make,model,trim,miles,transmission,drivetrain,highway_mpg,city_mpg,doors,latitude,longitude,listing_date,car_age,price_per_mile,region_cluster_1,region_cluster_2,region_cluster_3,region_cluster_4,region_cluster_5,region_cluster_6,region_cluster_7,region_cluster_8,region_cluster_9,age_miles_ratio,mileage_bucket,region_cluster
14688.0,2020,16,55,49,64821.0,1,0,30.0,24.0,5.0,43.620364,-116.298611,1753933393,5,0.2265932336742722,0,0,0,1,0,0,0,0,0,10803.5,2,1
37000.0,2019,6,31,26,70521.0,0,0,27.0,24.0,4.0,47.225872,-122.46493,1753333527,6,0.5246664114235476,0,0,0,1,0,0,0,0,0,10074.42857142857,2,1
34990.0,2020,3,77,29,83527.0,0,0,26.0,20.0,5.0,39.955002,-83.105412,1753415108,5,0.4189064613837441,0,0,1,0,0,0,0,0,0,13921.166666666666,2,3
35990.0,2019,3,77,42,94270.0,0,0,26.0,20.0,5.0,39.955002,-83.105412,1753415089,6,0.3817757505038718,0,0,1,0,0,0,0,0,0,13467.142857142857,2,3
12590.0,2018,12,34,31,98265.0,2,1,37.0,27.0,4.0,29.304737,-98.39608,1752719985,7,0.1281229328855645,0,0,0,0,1,0,0,0,0,12283.125,2,4
20999.0,2023,17,65,47,47243.0,1,0,35.0,28.0,5.0,35.176705,-80.796985,1754620475,2,0.4444891306648604,0,0,0,0,0,0,0,0,1,15747.666666666666,1,9
38888.0,2021,3,78,29,113733.0,0,0,26.0,20.0,5.0,39.955002,-83.105412,1754191207,4,0.3419236281466241,0,0,1,0,0,0,0,0,0,22746.6,3,3
26449.0,2025,14,14,48,18581.0,0,0,31.0,26.0,5.0,36.143864,-115.127092,1754620474,0,1.4234433022980464,0,0,0,0,0,0,0,1,0,18581.0,0,5
31992.0,2020,6,31,72,72291.0,0,0,28.0,24.0,4.0,35.191659,-80.764561,1753842679,5,0.4425447151097647,0,0,0,0,0,0,0,0,1,12048.5,2,9
49990.0,2021,3,77,75,74119.0,0,0,26.0,20.0,5.0,39.955002,-83.105412,1752372385,4,0.6744559424708914,0,0,1,0,0,0,0,0,0,14823.8,2,3
20937.0,2017,19,36,34,37736.0,0,0,33.0,26.0,5.0,43.218206,-77.746271,1754447242,8,0.5548282806868773,0,0,0,0,0,1,0,0,0,4192.888888888889,1,6
26447.0,2024,14,14,48,19474.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620473,1,1.3580671664783814,0,1,0,0,0,0,0,0,0,9737.0,0,2
26447.0,2024,14,14,48,19284.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620473,1,1.371447832399917,0,1,0,0,0,0,0,0,0,9642.0,0,2
26446.0,2024,14,14,48,19323.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620473,1,1.3686280598250788,0,1,0,0,0,0,0,0,0,9661.5,0,2
26444.0,2024,14,14,48,19331.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620473,1,1.3679582018519476,0,1,0,0,0,0,0,0,0,9665.5,0,2
18500.0,2021,20,22,27,21252.0,1,1,41.0,32.0,4.0,39.437588,-76.801076,1754447162,4,0.870506305288914,0,0,0,0,0,1,0,0,0,4250.4,1,6
26440.0,2024,14,14,48,19413.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620472,1,1.3619739349920157,0,1,0,0,0,0,0,0,0,9706.5,0,2
26439.0,2024,14,14,48,19471.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620472,1,1.3578655436289866,0,1,0,0,0,0,0,0,0,9735.5,0,2
26437.0,2024,14,14,48,19575.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620472,1,1.350549169859515,0,1,0,0,0,0,0,0,0,9787.5,0,2
42577.0,2025,20,17,73,41516.0,1,1,47.0,48.0,4.0,35.750612,-78.83656,1754542463,0,1.0255564119857403,0,0,0,0,0,0,0,0,1,41516.0,1,9
26434.0,2024,14,14,48,19553.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620471,1,1.3519153071139978,0,1,0,0,0,0,0,0,0,9776.5,0,2
26426.0,2025,14,14,48,21381.0,0,0,31.0,26.0,5.0,29.783838,-95.67468,1754620471,0,1.2359571582245918,0,0,0,0,1,0,0,0,0,21381.0,1,4
26433.0,2024,14,14,48,19615.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620471,1,1.3475911292378282,0,1,0,0,0,0,0,0,0,9807.5,0,2
26417.0,2024,14,14,48,19631.0,0,0,31.0,26.0,5.0,21.32774,-157.902132,1754620470,1,1.3456777545718506,0,1,0,0,0,0,0,0,0,9815.5,0,2
26422.0,2025,14,14,48,19239.0,0,0,31.0,26.0,5.0,28.053463,-82.459749,1754620470,0,1.3733562035448827,0,0,0,0,0,0,1,0,0,19239.0,0,0
11499.0,2009,8,2,14,79142.0,0,1,32.0,21.0,2.0,40.033807,-75.023764,1754620469,16,0.1452957974274089,0,0,0,0,0,1,0,0,0,4655.411764705882,2,6
16860.0,2023,3,10,29,43272.0,0,1,110.0,131.0,5.0,32.832108,-117.143916,1754445164,2,0.3896283971159179,0,0,0,0,0,0,0,1,0,14424.0,1,5
16860.0,2023,3,10,29,22077.0,0,1,110.0,131.0,5.0,33.843386,-118.354162,1754445164,2,0.7636907188476695,0,0,0,0,0,0,0,1,0,7359.0,1,5
35494.0,2024,3,73,10,25183.0,0,2,24.0,20.0,4.0,26.246535,-98.177423,1754620468,1,1.4094428781320731,0,0,0,0,1,0,0,0,0,12591.5,1,4
16800.0,2023,3,10,29,40816.0,0,1,110.0,131.0,5.0,33.639435,-112.088553,1754620467,2,0.4116032928263426,0,0,0,0,0,0,0,0,0,13605.333333333334,1,8
16389.0,2023,17,4,58,47492.0,1,1,39.0,28.0,4.0,25.970138,-80.205246,1754104089,2,0.3450896993177798,0,0,0,0,0,0,1,0,0,15830.666666666666,1,0
9525.0,2016,3,25,0,71153.0,0,1,38.0,26.0,4.0,42.134127,-83.227443,1754195271,9,0.1338664567902969,0,0,1,0,0,0,0,0,0,7115.3,2,3
7987.0,2017,17,83,58,86532.0,1,1,40.0,31.0,5.0,28.380541,-81.403428,1754449148,8,0.0923011140387371,0,0,0,0,0,0,1,0,0,9614.666666666666,2,0
24587.0,2024,17,69,57,15015.0,1,1,39.0,30.0,4.0,28.380541,-81.403428,1754363151,1,1.6374958374958375,0,0,0,0,0,0,1,0,0,7507.5,0,0
65859.0,2024,3,78,75,20504.0,0,0,26.0,20.0,5.0,34.790091,-77.372728,1754367150,1,3.2120074131876706,0,0,0,0,0,0,0,0,1,10252.0,1,9
24296.0,2024,14,14,48,29921.0,0,0,31.0,26.0,5.0,35.256881,-81.102281,1754016097,1,0.8120049463587447,0,0,0,0,0,0,0,0,1,14960.5,1,9
28989.0,2022,6,51,16,24859.0,0,2,33.0,22.0,2.0,28.019156,-82.105983,1754534506,3,1.1661370127519208,0,0,0,0,0,0,1,0,0,6214.75,1,0
36000.0,2020,6,31,26,93528.0,0,0,27.0,24.0,4.0,30.135139,-91.977029,1752892485,5,0.3849114703618168,0,0,0,0,1,0,0,0,0,15588.0,2,4
17000.0,2024,17,84,57,20465.0,1,1,40.0,32.0,4.0,47.472687,-122.333377,1754534660,1,0.8306865379916931,0,0,0,1,0,0,0,0,0,10232.5,1,1
34988.0,2019,6,31,39,83752.0,0,0,27.0,24.0,4.0,47.225872,-122.46493,1754535163,6,0.4177571878880504,0,0,0,1,0,0,0,0,0,11964.57142857143,2,1
17000.0,2024,17,84,57,22405.0,1,1,40.0,32.0,4.0,47.472687,-122.333377,1754534660,1,0.758759205534479,0,0,0,1,0,0,0,0,0,11202.5,1,1
18995.0,2024,17,4,58,2888.0,0,1,39.0,28.0,4.0,40.723028,-73.727421,1747188570,1,6.577216066481994,0,0,0,0,0,1,0,0,0,1444.0,0,6
19999.0,2024,17,69,58,16670.0,1,1,40.0,30.0,4.0,40.834189,-73.364925,1754534591,1,1.1997000599880023,0,0,0,0,0,1,0,0,0,8335.0,0,6
19799.0,2023,17,65,47,63412.0,1,1,37.0,30.0,5.0,28.544792,-81.738813,1754620451,2,0.312227969469501,0,0,0,0,0,0,1,0,0,21137.33333333333,2,0
35335.0,2023,3,73,10,39405.0,0,2,24.0,20.0,4.0,26.246535,-98.177423,1754620450,2,0.8967136150234741,0,0,0,0,1,0,0,0,0,13135.0,1,4
18990.0,2018,19,36,74,99366.0,1,0,28.0,23.0,5.0,41.459784,-87.729945,1754620445,7,0.1911116478473522,0,0,1,0,0,0,0,0,0,12420.75,2,3
5791.0,2013,3,24,2,116042.0,0,1,38.0,26.0,4.0,33.414518,-111.849499,1754620444,12,0.0499043449785422,0,0,0,0,0,0,0,0,0,8926.307692307691,3,8
33998.0,2024,3,73,69,22565.0,0,0,21.0,18.0,2.0,35.90826,-84.131912,1753582700,1,1.5066696210946156,1,0,0,0,0,0,0,0,0,11282.5,1,9
19885.0,2023,17,46,57,44584.0,1,1,36.0,31.0,5.0,44.950134,-92.922093,1754361149,2,0.4460120222501346,0,0,1,0,0,0,0,0,0,14861.333333333334,1,7
32990.0,2024,19,54,34,25900.0,1,0,30.0,23.0,5.0,39.824942,-85.923198,1754442477,1,1.2737451737451737,0,0,1,0,0,0,0,0,0,12950.0,1,3
6491.0,2017,6,29,49,135991.0,0,1,34.0,28.0,5.0,33.414518,-111.849499,1754445153,8,0.0477310998521961,0,0,0,0,0,0,0,0,0,15110.111111111111,3,8
31987.0,2021,6,31,72,89773.0,0,0,28.0,24.0,4.0,38.197824,-84.273761,1754448146,4,0.3563098036157864,0,0,1,0,0,0,0,0,0,17954.6,2,3
